Track.Name,Artist,Streams,Track_id,Date,Region,Artist_id
La noche,Andrés Calamaro,13080,1zI2cbdyNRPNQJONGMtHj2,1/2/2017,ar,3tAICgiSR5PfYY4B8qsoAU
La Cola,Los Palmeras,22508,45W2wFalCHxcTtrWuH60Ii,12/25/2017,ar,2Htm0q72SjGSmsy8EOIhRG
Taste Of Love,Maxi Trusso,16734,0Xry4aZncthPqpSjFhgsHl,1/1/2017,ar,1V7tGmh5DDSNE0VsUcorJL
Primavera 0 (SEP7IMO DIA),Soda Stereo,15967,3YDRIccvxModclwFdQzV7N,3/10/2017,ar,7An4yvF7hDYDolN4m5zKBp
Deu Onda,MC G15,14210,0EPxmvsG1BY5td4aTOkWBF,1/19/2017,ar,3Nipsl6GVwwGyeAk0J29C6
Como Te Extraño,Abel Pintos,12882,2PlyHAHOb0kJrbfI1MFCYC,1/2/2017,ar,6HTUcOExehqydqa7C3usAa
Qué Es Dios?,Las Pastillas del Abuelo,14679,5P29BFj3HVX4iEsK7lCa0t,10/11/2017,ar,0D5U7oXEE4dut2DPyUDLca
Amor para un Rato,Olvidate!,12109,47EEKhimMiDtUfYNR5Ii58,1/8/2017,ar,7Czvx73uua4PB239Dza1Je
Enamorarnos Bailando,The Panas,14331,0VjofSmIfyEkTsl1tTm90w,1/7/2017,ar,2uot6fY5M4c7qyfEloSoV0
I Will Be There,Agapornis,16424,60LbXuVjG11t0cIendTtHh,1/1/2017,ar,27Yc5RzJf27tJfqezJnHY1
Up&Up,Coldplay,16529,31L9yLXSj6LpCFupyMV6CR,11/15/2017,ar,4gzpq5DPGxSnKTe4SA8HAU
Traicionero,La Beriso,12688,0sOpGWXWkxNDev51Dst3fQ,1/2/2017,ar,0Dy32zfSrQ332Bz8wsthKJ
Una Noche Contigo,Marama,16390,5wWwIYTCgkiYfR5ZVZT3Go,1/1/2017,ar,4GepMkTgrIZECoCC55vqjW
Got Me Started,TINI,13888,5lU0HnotLXdJgnEeAFzSrg,1/18/2017,ar,7vXDAI8JwjW531ouMGbfcp
The Sky Is A Neighborhood,Foo Fighters,16970,3kdMzXOcrDIdSWLdONHNK5,9/15/2017,ar,7jy3rLJdDQY21OgRLCZ9sD
Te Quiero Tanto,La Nueva Luna,21469,1qvxbaReYVaxLdVRgXroQP,12/25/2017,ar,6pVmT18pd1QaofDegZUEKX
Sin Contrato,Maluma,16305,3yHJs5NmQk2ROAWCfjniXV,1/1/2017,ar,1r4hJ1h58CWwUQe3MxPuau
Fix You,Coldplay,13528,7LVHVU3tWfcxj5aiPFEW4Q,6/22/2017,ar,4gzpq5DPGxSnKTe4SA8HAU
La Pollera Amarilla,"Gladys ""La bomba tucumana""",21941,03G43mO3a34IGIsyDd4sj5,1/1/2018,ar,09jut908wvFm55SqnO4DN3
Y Ahora Te Vas,La Nueva Luna,21422,4m98XzyCOTlI1ykM8PlTgj,12/25/2017,ar,6pVmT18pd1QaofDegZUEKX
Como Le Digo,Rodrigo,16260,4nH1lpWkgzQPpTYPPjWKaI,1/1/2017,ar,235Vf4hkmwvxjVEMuCbRxm
De Música Ligera,Soda Stereo,13473,2WD9ggmpZE7Wodh3qVVCgg,2/15/2017,ar,7An4yvF7hDYDolN4m5zKBp
