Artist,Artist_Genres
Michael Calfan,big room
Ollie Gabriel,
Pizzera & Jaus,austropop
The Civil Wars,acoustic pop
Y.V.E. 48,deep house
Bilderbuch,german indie
Falco,austropop
Jumpa,luxembourgian hip hop
Mark Forster,german pop
SpongeBOZZ,deep german hip hop
The Killers,indie rock
Illy,australian hip hop
Hilltop Hoods,australian hip hop
The Veronicas,australian pop
Bliss n Eso,australian hip hop
Meg Mac,australian indie
Dean Lewis,NA
Vera Blue,australian indie
Amy Shark,australian pop
Midnight Oil,australian alternative rock
Kanye West,chicago rap
Macklemore & Ryan Lewis,dance pop
Hilltop Hoods,australian hip hop
L D R U,
Touch Sensitive,alternative dance
Glass Animals,gauze pop
Touch Sensitive,alternative dance
Powderfinger,australian alternative rock
Guy Sebastian,australian pop
Childish Gambino,atl hip hop
Pnau,alternative dance
Vera Blue,australian indie
Flume,australian dance
Bliss n Eso,australian hip hop
Prince,funk
Jimmy Barnes,australian pop
Chet Faker,australian indie
RÜFÜS,australian electropop
Tash Sultana,australian reggae fusion
Client Liaison,australian indie
Angus & Julia Stone,folk-pop
Big Scary,australian indie
John Farnham,australian pop
Vallis Alps,australian indie
Violent Soho,australian alternative rock
Fergie,dance pop
Mac Miller,hip hop
Tame Impala,australian psych
Flume,australian dance
Sticky Fingers,australian indie
Flume,australian dance
Milky Chance,german pop
Catfish and the Bottlemen,indie rock
Choirboys,australian rock
Hayden James,aussietronica
Billie Eilish,electropop
Hunters & Collectors,australian alternative rock
Pnau,alternative dance
Vera Blue,australian indie
Vera Blue,australian indie
Allday,australian hip hop
Hermitude,australian dance
Montell Jordan,hip pop
Amy Winehouse,neo soul
2Pac,g funk
Judah Kelly,australian pop
Flume,australian dance
Dune Rats,australian garage punk
Hilltop Hoods,australian hip hop
Hilltop Hoods,australian hip hop
Allday,australian hip hop
RÜFÜS,australian electropop
Winston Surfshirt,australian garage punk
Dagny,electropop
The Human League,art rock
Guy Sebastian,australian pop
Michael Gray,disco house
Angus & Julia Stone,folk-pop
Miike Snow,alternative dance
Nicole Millar,gauze pop
Touch Sensitive,alternative dance
Angus & Julia Stone,folk-pop
Cold Chisel,australian pop
Mylo,disco house
SAFIA,australian indie
Angus & Julia Stone,folk-pop
Cold Chisel,australian pop
Meg Mac,australian indie
SAFIA,australian indie
Teddy Cream,melbourne bounce
Vallis Alps,australian indie
Amy Shark,australian pop
Kid Cudi,hip hop
Set Mo,aussietronica
Daryl Braithwaite,australian pop
Frank Ocean,alternative r&b
Kim Churchill,australian indie
M-Phazes,australian hip hop
Vince Staples,conscious hip hop
BAYNK,electropop
Matchbox Twenty,neo mellow
The Rubens,australian indie
Dastic,deep big room
Dillon Francis,big room
Illy,australian hip hop
Gang of Youths,australian indie
Silverchair,alternative metal
AlunaGeorge,alternative r&b
Flume,australian dance
L D R U,
Vallis Alps,australian indie
blink-182,modern rock
Elton John,glam rock
Macklemore & Ryan Lewis,dance pop
Motez,aussietronica
Tash Sultana,australian reggae fusion
Vera Blue,australian indie
Billie Eilish,electropop
Glass Animals,gauze pop
Golden Features,NA
Mansionair,NA
Vera Blue,NA
Baby Bash,NA
Boo Seeka,NA
INXS,NA
Meg Mac,NA
Glass Animals,NA
Wafia,australian indie
MUTO,aussietronica
No Doubt,alternative rock
Bliss n Eso,australian hip hop
Cyrus,
Julia Michaels,NA
Mariah Carey,dance pop
Meg Mac,australian indie
SLUMBERJACK,electronic trap
Wafia,australian indie
Glades,electropop
Jessica Mauboy,australian indigenous
Cub Sport,australian indie
My Chemical Romance,emo
ODESZA,chillwave
Ruel,australian pop
Childish Gambino,atl hip hop
Illy,australian hip hop
Mallrat,aussietronica
Methyl Ethel,australian garage punk
Montaigne,australian indie
Thundamentals,australian hip hop
INXS,australian rock
RÜFÜS,australian electropop
Flume,australian dance
Nick Murphy,australian electropop
Tash Sultana,australian reggae fusion
Vance Joy,indie folk
Winston Surfshirt,australian garage punk
Sheppard,australian indie
The Rubens,australian indie
OutKast,atl hip hop
Salt-N-Pepa,dance pop
Sevn Alias,dutch hip hop
Boef,dutch hip hop
Lil' Kleine,dutch hip hop
Lost Frequencies,edm
Henri PFR,belgian pop
Regi,belgian dance
Boef,dutch hip hop
Boef,dutch hip hop
Van Echelpoel,belgian pop
Van Echelpoel,belgian pop
Lil' Kleine,dutch hip hop
Boef,dutch hip hop
Boef,dutch hip hop
Boef,dutch hip hop
Boef,dutch hip hop
Lil' Kleine,dutch hip hop
Van Echelpoel,belgian pop
Dimitri Vegas & Like Mike,belgian dance
Boef,dutch hip hop
Boef,dutch hip hop
Sevn Alias,dutch hip hop
Boef,dutch hip hop
Boef,dutch hip hop
D5R,
Frenna,dutch hip hop
Boef,dutch hip hop
Boef,dutch hip hop
Lil' Kleine,dutch hip hop
Boef,dutch hip hop
