"","Artist_Genres","Region_Name","Weekends","Weekday"
"90","alternative metal","Australia",0.26467936413157,0.73532063586843
"91","alternative metal","Austria",0.249949647591949,0.750050352408051
"92","alternative metal","Belgium",0.231693632301634,0.768306367698366
"93","alternative metal","Bolivia",0.200214903562027,0.799785096437973
"94","alternative metal","Brazil",0.18906966226957,0.81093033773043
"95","alternative metal","Canada",0.243664753961705,0.756335246038295
"96","alternative metal","Chile",0.176666616321044,0.823333383678956
"97","alternative metal","Colombia",0.220745045246851,0.779254954753149
"98","alternative metal","Costa Rica",0.206492434879704,0.793507565120296
"99","alternative metal","Czech Republic",0.25008272211935,0.74991727788065
"100","alternative metal","Denmark",0.298703556186094,0.701296443813907
"101","alternative metal","Dominican Republic",0.226415094339623,0.773584905660377
"102","alternative metal","Germany",0.276554482200167,0.723445517799833
"103","alternative metal","Switzerland",0.247496190122138,0.752503809877862
"104","alternative pop rock","Czech Republic",0,1
"105","alternative r&b","Australia",0.197207361840209,0.802792638159791
"106","alternative r&b","Austria",0,1
"107","alternative r&b","Belgium",0.414541935093609,0.585458064906391
"108","alternative r&b","Canada",0.229064010856455,0.770935989143545
"109","alternative r&b","Czech Republic",0.388031179280865,0.611968820719135
"110","alternative r&b","Denmark",0.226392045454545,0.773607954545455
"111","alternative r&b","Switzerland",0.256652708361475,0.743347291638525
"112","alternative rock","Argentina",0.337862828656428,0.662137171343572
"113","alternative rock","Australia",0.266785369313557,0.733214630686443
"114","alternative rock","Austria",0.416531987859198,0.583468012140802
"115","alternative rock","Belgium",0.365094502059575,0.634905497940425
"116","alternative rock","Brazil",0.242748101366505,0.757251898633496
"117","alternative rock","Canada",0.108958246636149,0.891041753363851
"118","alternative rock","Chile",0.0638047222768676,0.936195277723132
"119","alternative rock","Colombia",0,1
"120","alternative rock","Costa Rica",0.169720767888307,0.830279232111693
"121","alternative rock","Czech Republic",0.236446053208777,0.763553946791223
"122","alternative rock","Denmark",1,0
"123","alternative rock","Switzerland",0.491587854654057,0.508412145345943
"124","ambient worship","Australia",0.207237554112554,0.792762445887446
"125","ambient worship","Canada",0,1
"126","andean","Chile",0.502766507989808,0.497233492010192
"127","antideutsche","Austria",0.385395174048608,0.614604825951392
"128","antideutsche","Germany",0.370742484891871,0.629257515108129
"129","antideutsche","Switzerland",0.706731324327445,0.293268675672555
"130","arabic hip hop","Belgium",0.33656270823262,0.663437291767381
"131","arabic hip hop","Switzerland",0.243950045262075,0.756049954737925
"132","argentine alternative rock","Argentina",0,1
"133","argentine heavy metal","Argentina",0,1
"134","argentine hip hop","Argentina",0.289356380782631,0.710643619217369
"135","argentine hip hop","Chile",0.273453023245062,0.726546976754938
"136","argentine indie","Argentina",0.12993809753235,0.87006190246765
"137","argentine punk","Argentina",0.0932066777430111,0.906793322256989
"138","argentine reggae","Costa Rica",0.278092816576253,0.721907183423747
"139","argentine rock","Argentina",0.223390303829922,0.776609696170078
"140","argentine rock","Chile",0.305111325558615,0.694888674441385
"141","argentine rock","Colombia",0.216759216768456,0.783240783231544
"142","argentine rock","Costa Rica",1,0
"143","argentine telepop","Argentina",0.302547849598894,0.697452150401106
"144","argentine telepop","Bolivia",0.326610770586909,0.673389229413091
"145","art pop","Argentina",0.21654648896214,0.78345351103786
"146","art pop","Australia",0.282652661784365,0.717347338215635
"147","art pop","Austria",0.270731615903453,0.729268384096547
"148","art pop","Belgium",0.285032747581605,0.714967252418395
"149","art pop","Bolivia",0,1
"150","art pop","Brazil",0.248534461815288,0.751465538184712
"151","art pop","Canada",0.265451728389682,0.734548271610318
"152","art pop","Chile",0.217796472443956,0.782203527556044
"153","art pop","Colombia",0.256709200734615,0.743290799265385
"154","art pop","Costa Rica",0.248166042303639,0.751833957696361
"155","art pop","Czech Republic",0.267837326525202,0.732162673474798
"156","art pop","Denmark",0.247000077925064,0.752999922074936
"157","art pop","Dominican Republic",0.216248861011634,0.783751138988366
"158","art pop","Germany",0.291366027494799,0.708633972505201
"159","art pop","Switzerland",0.256555807522764,0.743444192477236
"160","art rock","Australia",0.435797894626584,0.564202105373416
"161","art rock","Austria",0.445195208758649,0.554804791241351
"162","art rock","Belgium",0.505176704513073,0.494823295486927
"163","art rock","Canada",0.367105532731645,0.632894467268355
"164","art rock","Czech Republic",0.472252696073358,0.527747303926642
"165","art rock","Denmark",0.40990508325164,0.59009491674836
"166","art rock","Germany",0.51854710033205,0.48145289966795
"167","art rock","Switzerland",0.537019918745991,0.462980081254009
"168","atl hip hop","Argentina",0,1
"169","atl hip hop","Australia",0.276625581031233,0.723374418968767
"170","atl hip hop","Austria",0.274252743221937,0.725747256778063
"171","atl hip hop","Belgium",0.282279694218574,0.717720305781426
"172","atl hip hop","Brazil",0.213742490221477,0.786257509778523
"173","atl hip hop","Canada",0.277067900515665,0.722932099484335
"174","atl hip hop","Chile",0.30787031201948,0.69212968798052
"175","atl hip hop","Colombia",0.167065593000032,0.832934406999968
"176","atl hip hop","Costa Rica",0.260341509909648,0.739658490090352
"177","atl hip hop","Czech Republic",0.274800654239741,0.725199345760259
"178","atl hip hop","Denmark",0.247405679122839,0.752594320877161
"179","atl hip hop","Dominican Republic",0.282399207532682,0.717600792467318
"180","atl hip hop","Germany",0.283613048735829,0.716386951264171
"181","atl hip hop","Switzerland",0.274620852167094,0.725379147832906
"182","atl trap","Czech Republic",0,1
"183","aussietronica","Argentina",0.256272821593749,0.743727178406251
"184","aussietronica","Australia",0.275696906942084,0.724303093057916
"185","aussietronica","Austria",0.288283622806821,0.711716377193179
